FECHA,ESTADO,BARRIO,VALOR
201603,USADO,LA COLINA,91000000
201603,NUEVO,ASOMADERA # 1,305000000
201603,NUEVO,CABECERA SAN CRISTOBAL,115000000
201603,USADO,CABECERA SAN CRISTOBAL,130000000
201604,USADO,ZONA EXPANSION PAJARITO,45000000
201604,NUEVO,ZONA EXPANSION PAJARITO,60000000
201604,USADO,ZONA EXPANSION PAJARITO,70000000
201604,NUEVO,ZONA EXPANSION PAJARITO,80000000
201604,USADO,EL SOCORRO,95000000
201604,NUEVO,LA PRADERA,90000000
201604,USADO,EL PESEBRE,82000000
201604,USADO,SAN JAVIER # 2,180000000
201604,NUEVO,ZONA EXPANSION ALTOS DE CALASANZ,110000000
201604,USADO,SIMON BOLIVAR,340000000
201604,USADO,SIMON BOLIVAR,300000000
201604,USADO,SIMON BOLIVAR,260000000
201604,USADO,SIMON BOLIVAR,430000000
201604,USADO,SIMON BOLIVAR,270000000
201604,USADO,LA AMERICA,270000000
201604,USADO,LA MOTA,212000000
201604,USADO,LOMA DE LOS BERNAL,135000000
201604,NUEVO,CORDOBA,205000000
201604,USADO,TOSCANA,91245000
201604,USADO,ALTAVISTA,150000000
201604,NUEVO,ZONA EXPANSION PAJARITO,68000000
201604,NUEVO,ZONA EXPANSION PAJARITO,85000000
201604,NUEVO,LOS NARANJOS,650000000
201604,USADO,SIMON BOLIVAR,330000000
201604,USADO,SIMON BOLIVAR,210000000
201604,USADO,SIMON BOLIVAR,230000000
201604,USADO,LA AMERICA,240000000
201604,USADO,SIMON BOLIVAR,370000000
201604,USADO,SIMON BOLIVAR,320000000
201604,USADO,SIMON BOLIVAR,280000000
201604,USADO,SIMON BOLIVAR,270000000
201604,USADO,SIMON BOLIVAR,220000000
201604,USADO,SIMON BOLIVAR,380000000
201604,USADO,LA FLORESTA,270000000
201604,USADO,LA AMERICA,315000000
201604,USADO,CALASANZ,240000000
201604,USADO,ZONA EXPANSION PAJARITO,45000000
201604,USADO,ZONA EXPANSION PAJARITO,55000000
201604,NUEVO,CABECERA SAN ANTONIO DE PRADO,75000000
201604,NUEVO,SIMON BOLIVAR,320000000
201604,NUEVO,CALASANZ,430000000
201604,NUEVO,CALASANZ,350000000
201604,USADO,CALASANZ,210000000
201604,USADO,CALASANZ,265000000
201604,USADO,CALASANZ,255000000
201604,USADO,CALASANZ,250000000
201604,USADO,EL DANUBIO,200000000
201604,USADO,LA AMERICA,255000000
201604,USADO,LOS PINOS,200000000
201604,USADO,LA FLORESTA,380000000
201604,NUEVO,LA FLORESTA,332000000
201604,USADO,LA FLORESTA,310000000
201604,USADO,LA FLORESTA,150000000
201604,USADO,EL DANUBIO,220000000
201604,USADO,LA AMERICA,200000000
201604,USADO,LA AMERICA,260000000
201604,USADO,EL DANUBIO,140000000
201604,USADO,BARRIO CRISTOBAL,210000000
201604,USADO,SIMON BOLIVAR,360000000
201604,USADO,EL VELODROMO,350000000
201604,NUEVO,BARRIO CRISTOBAL,100000000
201604,USADO,LA FLORESTA,210000000
201604,NUEVO,BARRIO CRISTOBAL,105000000
201604,NUEVO,BARRIO CRISTOBAL,105000000
201604,USADO,LA AMERICA,200000000
201604,USADO,LOMA DE LOS BERNAL,185000000
201604,USADO,SANTA MARIA DE LOS ANGELES,260000000
201604,NUEVO,BERMEJAL LOS ALAMOS,66500000
201604,USADO,LOS PINOS,200000000
201604,USADO,LOS PINOS,150000000
201604,USADO,FERRINI,230000000
201604,NUEVO,ZONA EXPANSION ALTOS DE CALASANZ,150000000
201604,NUEVO,ZONA EXPANSION ALTOS DE CALASANZ,120000000
201604,NUEVO,ZONA EXPANSION ALTOS DE CALASANZ,165000000
201604,USADO,FERRINI,150000000
201604,USADO,FERRINI,160000000
201604,NUEVO,AURES # 2,110000000
201604,USADO,LOS PINOS,202000000
201604,USADO,CALASANZ PARTE ALTA,210000000
201604,USADO,CALASANZ PARTE ALTA,170000000
201604,USADO,CALASANZ PARTE ALTA,100000000
201604,USADO,FERRINI,140000000
201604,USADO,EL DIAMANTE,260000000
201604,USADO,FERRINI,250000000
201604,USADO,FERRINI,350000000
201604,USADO,LA FLORESTA,150000000
201604,NUEVO,ZONA EXPANSION PAJARITO,63000000
201604,USADO,ZONA EXPANSION PAJARITO,50000000
201604,NUEVO,ZONA EXPANSION PAJARITO,60000000
201604,NUEVO,ZONA EXPANSION ALTOS DE CALASANZ,145000000
201604,NUEVO,ZONA EXPANSION ALTOS DE CALASANZ,150000000
201604,USADO,CALASANZ PARTE ALTA,130000000
201604,NUEVO,CALASANZ PARTE ALTA,24000000
201604,NUEVO,LA AMERICA,140000000
201604,USADO,SANTA TERESITA,270000000
201604,USADO,LOS PINOS,300000000
201604,NUEVO,LA AMERICA,140000000
201604,NUEVO,LA AMERICA,140000000
201604,NUEVO,LA AMERICA,190000000
201604,NUEVO,LA CASTELLANA,320000000
201604,NUEVO,LA CASTELLANA,235000000
201604,USADO,FATIMA,180000000
201604,NUEVO,FATIMA,180000000
201604,USADO,FATIMA,198000000
201605,NUEVO,LA AMERICA,150000000
201605,USADO,SANTA TERESITA,220000000
201605,USADO,SANTA TERESITA,170000000
201605,NUEVO,LA PILARICA,95000000
201605,NUEVO,LA PILARICA,98000000
201605,NUEVO,SIMON BOLIVAR,292000000
201605,NUEVO,SIMON BOLIVAR,240000000
201605,NUEVO,SIMON BOLIVAR,300000000
201605,USADO,SIMON BOLIVAR,230000000
201605,USADO,CABECERA SAN CRISTOBAL,75000000
201605,NUEVO,SIMON BOLIVAR,160000000
201605,USADO,ROBLEDO,145000000
201605,NUEVO,SANTA MONICA,150000000
201605,USADO,LA FLORESTA,290000000
201605,USADO,BARRIO CRISTOBAL,180000000
201605,USADO,LA AMERICA,140000000
201605,NUEVO,LA FLORESTA,330000000
201605,USADO,SANTA TERESITA,185000000
201605,USADO,SANTA TERESITA,390000000
201605,USADO,FLORIDA NUEVA,300000000
201605,USADO,FLORIDA NUEVA,250000000
201605,USADO,MORAVIA,68000000
201605,USADO,MORAVIA,55000000
201605,USADO,EL DIAMANTE,160000000
201605,USADO,LOPEZ DE MESA,150000000
201605,USADO,PAJARITO,111000000
201605,USADO,LOS PINOS,320000000
201605,USADO,EL VELODROMO,330000000
201605,USADO,BELENCITO,119000000
201605,USADO,SANTA MONICA,140000000
201605,USADO,FLORIDA NUEVA,195000000
201605,USADO,EL VELODROMO,300000000
201605,USADO,FLORIDA NUEVA,260000000
201605,USADO,SAN JAVIER # 2,80000000
201605,NUEVO,EL DANUBIO,160000000
201605,USADO,SANTA LUCIA,160000000
201605,USADO,SANTA TERESITA,240000000
201605,USADO,SANTA TERESITA,270000000
201605,USADO,SANTA TERESITA,250000000
201605,USADO,PALENQUE,100000000
201605,USADO,BOYACA,160000000
201605,USADO,SANTA LUCIA,120000000
201605,USADO,SANTA LUCIA,118000000
201605,USADO,BELENCITO,160000000
201605,USADO,LA PRADERA,120000000
201605,USADO,LA PRADERA,120000000
201605,USADO,CALASANZ,250000000
201605,NUEVO,LA AMERICA,210000000
201605,USADO,LA FLORESTA,175000000
201605,USADO,LA AMERICA,150000000
201605,USADO,LA FLORESTA,180000000
201605,NUEVO,LA AMERICA,335000000
201605,NUEVO,LA AMERICA,280000000
201605,USADO,LA AMERICA,205000000
201605,USADO,CALASANZ,750000000
201605,NUEVO,CALASANZ PARTE ALTA,235000000
201605,NUEVO,CALASANZ PARTE ALTA,240000000
201605,USADO,LOS PINOS,185000000
201605,USADO,LA FLORESTA,350000000
201605,USADO,LA FLORESTA,410000000
201605,USADO,SANTA MONICA,125000000
201605,NUEVO,CALASANZ,295000000
201605,USADO,PRADO,700000000
201605,USADO,PRADO,195000000
201605,USADO,SANTA MARIA DE LOS ANGELES,700000000
201605,USADO,LA MANSION,125000000
201605,USADO,LA MANSION,230000000
201605,USADO,LA MANSION,45000000
201605,NUEVO,EL DANUBIO,180000000
201605,USADO,CUCARACHO,135000000
201605,USADO,SIMON BOLIVAR,400000000
201605,USADO,SANTA LUCIA,105000000
201605,USADO,SIMON BOLIVAR,345000000
201605,USADO,MONTECLARO,85000000
201605,NUEVO,SANTA FE,240000000
201605,USADO,SANTA FE,330000000
201605,NUEVO,ROSALES,315000000
201605,USADO,SANTA FE,250000000
201605,USADO,BOSTON,132000000
201605,NUEVO,SIMON BOLIVAR,240000000
201605,NUEVO,SIMON BOLIVAR,250000000
201605,USADO,SANTA LUCIA,185000000
201605,USADO,SANTA LUCIA,160000000
201605,USADO,SAN JAVIER # 2,200000000
201605,USADO,LAURELES,380000000
201605,USADO,PALENQUE,68000000
201605,USADO,LA CASTELLANA,195000000
201605,USADO,SANTA FE,310000000
201605,USADO,SANTA FE,140000000
201605,USADO,SANTA FE,210000000
201605,USADO,CAMPO AMOR,200000000
201605,USADO,CAMPO AMOR,180000000
201605,NUEVO,LA CASTELLANA,310000000
201605,USADO,CATALUNA,145000000
201605,USADO,LA CASTELLANA,310000000
201605,NUEVO,SANTA MARIA DE LOS ANGELES,215000000
201605,USADO,SAN JAVIER # 2,240000000
201605,USADO,SAN JAVIER # 2,240000000
201605,USADO,SANTA FE,195000000
201605,USADO,LAS GRANJAS,150000000
201605,NUEVO,LA AMERICA,220000000
201605,USADO,EDUARDO SANTOS,30000000
201605,USADO,BARRIO CRISTOBAL,220000000
201605,USADO,SANTA TERESITA,270000000
201605,NUEVO,EL VELODROMO,450000000
201605,USADO,SANTA LUCIA,340000000
201605,USADO,EL VELODROMO,300000000
201605,USADO,SURAMERICANA,390000000
201605,USADO,CALASANZ,140000000
201605,USADO,FLORIDA NUEVA,240000000
201605,USADO,MIRANDA,48261780
201605,NUEVO,CABECERA SAN CRISTOBAL,145000000
201606,NUEVO,CUCARACHO,85000000
201606,NUEVO,CUCARACHO,70000000
201606,USADO,PALENQUE,140000000
201606,USADO,LOS COLORES,280000000
201606,USADO,LOS COLORES,350000000
201606,USADO,LOS COLORES,300000000
201606,USADO,LOS COLORES,240000000
201606,USADO,LOS COLORES,450000000
201606,NUEVO,ZONA EXPANSION PAJARITO,80000000
201606,USADO,CALASANZ PARTE ALTA,110000000
201606,USADO,BOMBONA # 1,215000000
201606,USADO,BOMBONA # 1,280000000
201606,USADO,PAJARITO,108000000
201606,USADO,BOMBONA # 1,250000000
201606,USADO,BOMBONA # 1,205000000
201606,NUEVO,CATALUNA,150000000
201606,USADO,BARRIO CAICEDO,90000000
201606,USADO,BARRIO CAICEDO,130000000
201606,USADO,CATALUNA,150000000
201606,USADO,BARRIO CAICEDO,98000000
201606,USADO,BUENOS AIRES,300000000
201606,NUEVO,BUENOS AIRES,220000000
201606,USADO,BUENOS AIRES,210000000
201606,USADO,EL SALVADOR,235000000
201606,USADO,MIRAFLORES,130000000
201606,USADO,BARRIO CAICEDO,160000000
201606,USADO,LAS ACACIAS,350000000
201606,USADO,EL SALVADOR,150000000
201606,USADO,LA GLORIA,320000000
201606,USADO,EL SALVADOR,170000000
201606,USADO,LAURELES,380000000
201606,USADO,LAURELES,320000000
201606,USADO,LAURELES,320000000
201606,USADO,LAURELES,340000000
201606,USADO,MANRIQUE CENTRAL # 2,180000000
201606,NUEVO,EL POMAR,95000000
201606,NUEVO,EL POMAR,235000000
201606,USADO,EL POMAR,85000000
201606,NUEVO,MANRIQUE CENTRAL # 2,95000000
201606,USADO,BARRIO CAICEDO,250000000
201606,USADO,VERSALLES # 1,160000000
201606,USADO,MIRAFLORES,270000000
201606,USADO,CAMPO AMOR,180000000
201606,USADO,CUCARACHO,65000000
201606,USADO,LOS CERROS EL VERGEL,90000000
201606,USADO,LOS CERROS EL VERGEL,230000000
201606,NUEVO,MANRIQUE CENTRAL # 2,200000000
201606,NUEVO,MANRIQUE CENTRAL # 2,160000000
201606,NUEVO,MANRIQUE CENTRAL # 2,180000000
201606,USADO,LA MANSION,80000000
201606,USADO,LA MANSION,120000000
201606,NUEVO,BOMBONA # 2,120000000
201606,USADO,PRADO,290000000
201606,USADO,BOMBONA # 2,125000000
201606,USADO,LORETO,68000000
201606,USADO,CAMPO VALDES # 2,100000000
201606,USADO,MIRAFLORES,205000000
201606,USADO,MIRAFLORES,170000000
201606,USADO,MANRIQUE CENTRAL # 2,140000000
201606,USADO,MIRAFLORES,130000000
201606,USADO,LA FLORESTA,450000000
201606,USADO,MIRAFLORES,95000000
201606,NUEVO,ASOMADERA # 1,80000000
201606,USADO,MANRIQUE CENTRAL # 1,159000000
201606,USADO,CAMPO VALDES # 2,98000000
201606,USADO,LA MANSION,100000000
201606,USADO,BARRIO CRISTOBAL,135000000
201606,USADO,BARRIO CRISTOBAL,140000000
